Short URL,Long URL
https://eled.org/3280,https://www.listennotes.com/podcasts/what-if-world/what-if-dinosaurs-were-alive-trdgRJWscin/
https://eled.org/3281,https://www.curiouskidpodcast.com/curious-about-fossils/
https://eled.org/3282,https://ucmpdb.berkeley.edu/photos/fossil_plant.html
https://eled.org/3283,https://www.unicef.org/
https://eled.org/3287,https://www.youtube.com/watch?v=8yeRCsj_tKQ
https://eled.org/3288,https://www.oxfordlearnersdictionaries.com/us/
https://eled.org/3289,https://docs.google.com/presentation/d/1MHGrODwwRh_NXUpLHk69cII1QA4Zu1SdJeMlOht3EdM/edit#slide=id.p
https://eled.org/AST,https://drive.google.com/drive/u/1/folders/1cxKpkuiBhKdtti-GL2rje9R-LZjUNvKr
https://eled.org/3292,https://speechnotes.co/
https://eled.org/3293,https://bookcreator.com/
https://eled.org/3294,https://www.youtube.com/watch?v=KwbKxuwwvqw
https://eled.org/3298,https://brailleworks.com/braille-resources/what-is-braille/
https://eled.org/3299,https://indigenouspeoplesatlasofcanada.ca/article/inuvialuit-settlement-region/
https://eled.org/3300,https://inuvialuitdigitallibrary.ca/exhibits/show/rc--knights-photo-collection/item/3198
https://eled.org/3301,https://inuvialuitdigitallibrary.ca/exhibits/show/book-collection/item/2608
https://eled.org/3302,https://inuvialuitdigitallibrary.ca/exhibits/show/book-collection/item/2604
https://eled.org/3303,https://gracelin.com/
https://eled.org/3304,https://kids.kiddle.co/Millipede
https://eled.org/0139,https://web.archive.org/web/20210614045323/https://lindasuepark.com/books/books-novels/long_walk/
https://eled.org/0192,https://web.archive.org/web/20220328081218/http://thelaboratory.harvard.edu/courses/es20/
https://eled.org/3305,https://www.pics4learning.com/
https://eled.org/3306,https://www.photosforclass.com/
https://eled.org/3307,https://www.youtube.com/watch?v=jORMsdg9oAo
https://eled.org/3308,https://www.youtube.com/watch?v=UXpmM7BzTfI
https://eled.org/3309,https://spaceplace.nasa.gov/eclipses/en/
https://eled.org/3310,https://www.youtube.com/watch?v=-Oyv3Qg4a8k&feature=youtu.be
https://eled.org/3311,https://www.youtube.com/watch?v=0b3GcLE4Vlg
https://eled.org/3312,https://www.youtube.com/watch?v=6FB0rDsR_rc
https://eled.org/3313,https://www.youtube.com/watch?v=kFR7HLRMx_o
https://eled.org/3314,https://www.youtube.com/watch?v=1sZ15SUeS9w
https://eled.org/3315,https://www.youtube.com/watch?v=ZrS3Ye8p61Y
https://eled.org/3316,https://www.youtube.com/watch?v=XnkUMC2mZ0c
https://eled.org/3317,https://www.youtube.com/watch?v=fpVd822yr7M
https://eled.org/3318,https://www.nps.gov/articles/000/20-national-fossil-day-ideas.htm
https://eled.org/3319,https://www.youtube.com/watch?v=rJhh5Ow8mfs
https://eled.org/3320,https://www.youtube.com/watch?v=nF6X8w3DhhE
https://eled.org/3321,https://www.youtube.com/watch?v=OGdPqpzYD4o
https://eled.org/3322,https://www.youtube.com/watch?v=bb40B4PxAaA
https://eled.org/3323,https://www.youtube.com/watch?v=xKubdY2mHXc
https://eled.org/3324,https://www.youtube.com/watch?v=K7Oq9_DU1Mc
https://eled.org/3325,https://www.museumoftheearth.org/daring-to-dig/paleontologist-profiles
https://eled.org/3326,https://www.youtube.com/watch?v=wCPkMJVRlCc
https://eled.org/3400,https://www.youtube.com/watch?v=jwo2XGBABpY
https://eled.org/3401,https://www.youtube.com/watch?v=V647xfOreKM
https://eled.org/3402,https://www.youtube.com/watch?v=dF5n6oLdrt4
https://eled.org/3403,https://www.youtube.com/watch?v=P0Q3_IoRdI8
https://eled.org/3404,https://www.youtube.com/watch?v=Af0LB3abBsk
https://eled.org/3405,https://www.youtube.com/watch?v=-s3UwOq1P1E
https://eled.org/3406,https://www.youtube.com/watch?v=BpBtRmTmbqQ
https://eled.org/3323,https://www.youtube.com/watch?v=xKubdY2mHXc
https://eled.org/3292,https://speechnotes.co/
https://eled.org/3408,https://kids.kiddle.co/Amphibian
https://eled.org/3022,https://padlet.com/
https://eled.org/0146,https://sketch.io/sketchpad/
https://eled.org/3027,https://kahoot.com/
https://eled.org/3039,https://classkick.com/
